,start_date,end_date,retail_type_code,retail_type_description_original,retail_type_description_en,turnover_index,average_anual_variation_rate,year_on_year_rate_of_change,monthly_rate_of_change
16,2022-06-01,2022-06-30,CR,"Comércio a retalho, excepto de veículos automóveis e motociclos","Retail trade, except car vehicles and motorcycles",132.34,12.4,12.7,-1.5
17,2022-05-01,2022-05-31,CR,"Comércio a retalho, excepto de veículos automóveis e motociclos","Retail trade, except car vehicles and motorcycles",134.39,12.2,12.6,5.5
18,2022-04-01,2022-04-30,CR,"Comércio a retalho, excepto de veículos automóveis e motociclos","Retail trade, except car vehicles and motorcycles",127.43,12.7,15.9,-1.7
19,2022-03-01,2022-03-31,CR,"Comércio a retalho, excepto de veículos automóveis e motociclos","Retail trade, except car vehicles and motorcycles",129.63,13.5,18.8,15.3
20,2022-02-01,2022-02-28,CR,"Comércio a retalho, excepto de veículos automóveis e motociclos","Retail trade, except car vehicles and motorcycles",112.38,12.2,22.6,-1.7
21,2022-01-01,2022-01-31,CR,"Comércio a retalho, excepto de veículos automóveis e motociclos","Retail trade, except car vehicles and motorcycles",114.3,9.4,15.4,-24.7
22,2021-12-01,2021-12-31,CR,"Comércio a retalho, excepto de veículos automóveis e motociclos","Retail trade, except car vehicles and motorcycles",151.86,7.3,11.5,16.7
23,2021-11-01,2021-11-30,CR,"Comércio a retalho, excepto de veículos automóveis e motociclos","Retail trade, except car vehicles and motorcycles",130.09,5.6,15.7,3.9
24,2021-10-01,2021-10-31,CR,"Comércio a retalho, excepto de veículos automóveis e motociclos","Retail trade, except car vehicles and motorcycles",125.22,3.8,8.2,3.5
25,2021-09-01,2021-09-30,CR,"Comércio a retalho, excepto de veículos automóveis e motociclos","Retail trade, except car vehicles and motorcycles",121.04,2.9,6.3,-5.6
26,2021-08-01,2021-08-31,CR,"Comércio a retalho, excepto de veículos automóveis e motociclos","Retail trade, except car vehicles and motorcycles",128.25,2.4,6.9,0.6
27,2021-07-01,2021-07-31,CR,"Comércio a retalho, excepto de veículos automóveis e motociclos","Retail trade, except car vehicles and motorcycles",127.48,1.3,5.9,8.6
28,2021-06-01,2021-06-30,CR,"Comércio a retalho, excepto de veículos automóveis e motociclos","Retail trade, except car vehicles and motorcycles",117.39,0.5,10.2,-1.7
29,2021-05-01,2021-05-31,CR,"Comércio a retalho, excepto de veículos automóveis e motociclos","Retail trade, except car vehicles and motorcycles",119.36,-0.9,19.7,8.5
30,2021-04-01,2021-04-30,CR,"Comércio a retalho, excepto de veículos automóveis e motociclos","Retail trade, except car vehicles and motorcycles",109.96,-3.6,28.5,0.8
31,2021-03-01,2021-03-31,CR,"Comércio a retalho, excepto de veículos automóveis e motociclos","Retail trade, except car vehicles and motorcycles",109.11,-7.1,3.4,19.0
32,2021-02-01,2021-02-28,CR,"Comércio a retalho, excepto de veículos automóveis e motociclos","Retail trade, except car vehicles and motorcycles",91.7,-7.7,-14.2,-7.4
33,2021-01-01,2021-01-31,CR,"Comércio a retalho, excepto de veículos automóveis e motociclos","Retail trade, except car vehicles and motorcycles",99.04,-6.0,-10.5,-27.3
34,2020-12-01,2020-12-31,CR,"Comércio a retalho, excepto de veículos automóveis e motociclos","Retail trade, except car vehicles and motorcycles",136.25,-4.9,-4.2,21.2
35,2020-11-01,2020-11-30,CR,"Comércio a retalho, excepto de veículos automóveis e motociclos","Retail trade, except car vehicles and motorcycles",112.39,-4.2,-5.8,-2.9
36,2020-10-01,2020-10-31,CR,"Comércio a retalho, excepto de veículos automóveis e motociclos","Retail trade, except car vehicles and motorcycles",115.71,-4.1,-1.6,1.6
37,2020-09-01,2020-09-30,CR,"Comércio a retalho, excepto de veículos automóveis e motociclos","Retail trade, except car vehicles and motorcycles",113.86,-3.7,0.0,-5.1
38,2020-08-01,2020-08-31,CR,"Comércio a retalho, excepto de veículos automóveis e motociclos","Retail trade, except car vehicles and motorcycles",119.93,-3.5,-4.7,-0.4
39,2020-07-01,2020-07-31,CR,"Comércio a retalho, excepto de veículos automóveis e motociclos","Retail trade, except car vehicles and motorcycles",120.36,-2.5,-3.8,13.0
40,2020-06-01,2020-06-30,CR,"Comércio a retalho, excepto de veículos automóveis e motociclos","Retail trade, except car vehicles and motorcycles",106.5,-1.9,-6.9,6.8
41,2020-05-01,2020-05-31,CR,"Comércio a retalho, excepto de veículos automóveis e motociclos","Retail trade, except car vehicles and motorcycles",99.7,-1.2,-14.7,16.5
42,2020-04-01,2020-04-30,CR,"Comércio a retalho, excepto de veículos automóveis e motociclos","Retail trade, except car vehicles and motorcycles",85.57,0.3,-23.1,-18.9
43,2020-03-01,2020-03-31,CR,"Comércio a retalho, excepto de veículos automóveis e motociclos","Retail trade, except car vehicles and motorcycles",105.51,2.9,-5.1,-1.3
44,2020-02-01,2020-02-29,CR,"Comércio a retalho, excepto de veículos automóveis e motociclos","Retail trade, except car vehicles and motorcycles",106.93,3.4,8.7,-3.4
45,2020-01-01,2020-01-31,CR,"Comércio a retalho, excepto de veículos automóveis e motociclos","Retail trade, except car vehicles and motorcycles",110.71,3.1,4.8,-22.2
46,2019-12-01,2019-12-31,CR,"Comércio a retalho, excepto de veículos automóveis e motociclos","Retail trade, except car vehicles and motorcycles",142.26,3.0,2.3,19.2
47,2019-11-01,2019-11-30,CR,"Comércio a retalho, excepto de veículos automóveis e motociclos","Retail trade, except car vehicles and motorcycles",119.35,3.1,2.8,1.5
48,2019-10-01,2019-10-31,CR,"Comércio a retalho, excepto de veículos automóveis e motociclos","Retail trade, except car vehicles and motorcycles",117.6,3.2,1.6,3.3
49,2019-09-01,2019-09-30,CR,"Comércio a retalho, excepto de veículos automóveis e motociclos","Retail trade, except car vehicles and motorcycles",113.86,3.8,1.3,-9.5
50,2019-08-01,2019-08-31,CR,"Comércio a retalho, excepto de veículos automóveis e motociclos","Retail trade, except car vehicles and motorcycles",125.83,3.9,2.1,0.6
51,2019-07-01,2019-07-31,CR,"Comércio a retalho, excepto de veículos automóveis e motociclos","Retail trade, except car vehicles and motorcycles",125.06,4.2,3.2,9.3
52,2019-06-01,2019-06-30,CR,"Comércio a retalho, excepto de veículos automóveis e motociclos","Retail trade, except car vehicles and motorcycles",114.38,4.3,1.7,-2.2
53,2019-05-01,2019-05-31,CR,"Comércio a retalho, excepto de veículos automóveis e motociclos","Retail trade, except car vehicles and motorcycles",116.91,4.7,3.6,5.1
54,2019-04-01,2019-04-30,CR,"Comércio a retalho, excepto de veículos automóveis e motociclos","Retail trade, except car vehicles and motorcycles",111.28,5.0,8.7,0.1
55,2019-03-01,2019-03-31,CR,"Comércio a retalho, excepto de veículos automóveis e motociclos","Retail trade, except car vehicles and motorcycles",111.2,4.3,1.7,13.1
56,2019-02-01,2019-02-28,CR,"Comércio a retalho, excepto de veículos automóveis e motociclos","Retail trade, except car vehicles and motorcycles",98.36,4.7,4.1,-6.9
57,2019-01-01,2019-01-31,CR,"Comércio a retalho, excepto de veículos automóveis e motociclos","Retail trade, except car vehicles and motorcycles",105.67,4.8,3.9,-24.0
58,2023-10-01,2023-10-31,CR1,Comércio a retalho excepto combustíveis,Retail trade except fuels,143.81,7.5,3.6,-0.1
59,2023-09-01,2023-09-30,CR1,Comércio a retalho excepto combustíveis,Retail trade except fuels,144.0,8.2,6.4,-5.4
60,2023-08-01,2023-08-31,CR1,Comércio a retalho excepto combustíveis,Retail trade except fuels,152.3,8.7,5.5,-0.3
61,2023-07-01,2023-07-31,CR1,Comércio a retalho excepto combustíveis,Retail trade except fuels,,,,
62,2023-06-01,2023-06-30,CR1,Comércio a retalho excepto combustíveis,Retail trade except fuels,138.77,10.0,6.6,-2.1
63,2023-05-01,2023-05-31,CR1,Comércio a retalho excepto combustíveis,Retail trade except fuels,141.79,10.5,7.2,3.9
64,2023-04-01,2023-04-30,CR1,Comércio a retalho excepto combustíveis,Retail trade except fuels,136.52,10.8,7.5,-0.6
65,2023-03-01,2023-03-31,CR1,Comércio a retalho excepto combustíveis,Retail trade except fuels,137.28,11.5,8.2,13.1
66,2023-02-01,2023-02-28,CR1,Comércio a retalho excepto combustíveis,Retail trade except fuels,121.37,12.1,9.2,-5.7
67,2023-01-01,2023-01-31,CR1,Comércio a retalho excepto combustíveis,Retail trade except fuels,128.71,12.8,12.8,-25.0
68,2022-12-01,2022-12-31,CR1,Comércio a retalho excepto combustíveis,Retail trade except fuels,171.69,12.8,9.9,21.7
69,2022-11-01,2022-11-30,CR1,Comércio a retalho excepto combustíveis,Retail trade except fuels,141.04,12.9,8.1,1.7
70,2022-10-01,2022-10-31,CR1,Comércio a retalho excepto combustíveis,Retail trade except fuels,138.75,13.4,12.1,2.5
71,2022-09-01,2022-09-30,CR1,Comércio a retalho excepto combustíveis,Retail trade except fuels,135.3,12.8,12.7,-6.3
72,2022-08-01,2022-08-31,CR1,Comércio a retalho excepto combustíveis,Retail trade except fuels,144.37,12.1,13.6,0.2
73,2022-07-01,2022-07-31,CR1,Comércio a retalho excepto combustíveis,Retail trade except fuels,144.12,11.4,13.4,10.7
74,2022-06-01,2022-06-30,CR1,Comércio a retalho excepto combustíveis,Retail trade except fuels,130.21,10.7,11.5,-1.6
75,2022-05-01,2022-05-31,CR1,Comércio a retalho excepto combustíveis,Retail trade except fuels,132.31,10.4,11.3,4.2
76,2022-04-01,2022-04-30,CR1,Comércio a retalho excepto combustíveis,Retail trade except fuels,127.01,10.8,15.7,0.1
77,2022-03-01,2022-03-31,CR1,Comércio a retalho excepto combustíveis,Retail trade except fuels,126.82,11.2,15.5,14.1
78,2022-02-01,2022-02-28,CR1,Comércio a retalho excepto combustíveis,Retail trade except fuels,111.14,10.2,19.8,-2.6
79,2022-01-01,2022-01-31,CR1,Comércio a retalho excepto combustíveis,Retail trade except fuels,114.11,7.8,13.6,-27.0
80,2021-12-01,2021-12-31,CR1,Comércio a retalho excepto combustíveis,Retail trade except fuels,156.29,6.1,10.4,19.8
81,2021-11-01,2021-11-30,CR1,Comércio a retalho excepto combustíveis,Retail trade except fuels,130.43,4.8,13.3,5.4
82,2021-10-01,2021-10-31,CR1,Comércio a retalho excepto combustíveis,Retail trade except fuels,123.77,3.4,5.3,3.1
83,2021-09-01,2021-09-30,CR1,Comércio a retalho excepto combustíveis,Retail trade except fuels,120.04,3.0,4.5,-5.6
84,2021-08-01,2021-08-31,CR1,Comércio a retalho excepto combustíveis,Retail trade except fuels,127.13,2.8,5.6,0.1
85,2021-07-01,2021-07-31,CR1,Comércio a retalho excepto combustíveis,Retail trade except fuels,127.06,2.0,4.6,8.8
86,2021-06-01,2021-06-30,CR1,Comércio a retalho excepto combustíveis,Retail trade except fuels,116.73,1.5,8.1,-1.8
87,2021-05-01,2021-05-31,CR1,Comércio a retalho excepto combustíveis,Retail trade except fuels,118.84,0.5,16.7,8.2
88,2021-04-01,2021-04-30,CR1,Comércio a retalho excepto combustíveis,Retail trade except fuels,109.81,-1.7,23.7,0.0
89,2021-03-01,2021-03-31,CR1,Comércio a retalho excepto combustíveis,Retail trade except fuels,109.76,-4.6,3.1,18.3
90,2021-02-01,2021-02-28,CR1,Comércio a retalho excepto combustíveis,Retail trade except fuels,92.77,-5.1,-12.0,-7.6
91,2021-01-01,2021-01-31,CR1,Comércio a retalho excepto combustíveis,Retail trade except fuels,100.45,-3.5,-7.7,-29.0
92,2020-12-01,2020-12-31,CR1,Comércio a retalho excepto combustíveis,Retail trade except fuels,141.58,-2.6,-2.0,23.0
93,2020-11-01,2020-11-30,CR1,Comércio a retalho excepto combustíveis,Retail trade except fuels,115.09,-2.2,-3.5,-2.1
94,2020-10-01,2020-10-31,CR1,Comércio a retalho excepto combustíveis,Retail trade except fuels,117.58,-2.3,1.1,2.4
95,2020-09-01,2020-09-30,CR1,Comércio a retalho excepto combustíveis,Retail trade except fuels,114.88,-2.0,1.9,-4.5
96,2020-08-01,2020-08-31,CR1,Comércio a retalho excepto combustíveis,Retail trade except fuels,120.35,-1.9,-2.9,-0.9
97,2020-07-01,2020-07-31,CR1,Comércio a retalho excepto combustíveis,Retail trade except fuels,121.48,-1.0,-1.5,12.5
98,2020-06-01,2020-06-30,CR1,Comércio a retalho excepto combustíveis,Retail trade except fuels,107.97,-0.6,-4.1,6.0
99,2020-05-01,2020-05-31,CR1,Comércio a retalho excepto combustíveis,Retail trade except fuels,101.83,-0.1,-11.2,14.7
100,2020-04-01,2020-04-30,CR1,Comércio a retalho excepto combustíveis,Retail trade except fuels,88.79,1.2,-18.4,-16.6
101,2020-03-01,2020-03-31,CR1,Comércio a retalho excepto combustíveis,Retail trade except fuels,106.46,3.3,-2.9,1.0
102,2020-02-01,2020-02-29,CR1,Comércio a retalho excepto combustíveis,Retail trade except fuels,105.41,3.6,9.0,-3.1
103,2020-01-01,2020-01-31,CR1,Comércio a retalho excepto combustíveis,Retail trade except fuels,108.83,3.3,4.7,-24.7
104,2019-12-01,2019-12-31,CR1,Comércio a retalho excepto combustíveis,Retail trade except fuels,144.46,3.3,2.3,21.2
105,2019-11-01,2019-11-30,CR1,Comércio a retalho excepto combustíveis,Retail trade except fuels,119.24,3.4,3.5,2.6
106,2019-10-01,2019-10-31,CR1,Comércio a retalho excepto combustíveis,Retail trade except fuels,116.25,3.5,2.3,3.1
107,2019-09-01,2019-09-30,CR1,Comércio a retalho excepto combustíveis,Retail trade except fuels,112.7,3.9,2.4,-9.1
108,2019-08-01,2019-08-31,CR1,Comércio a retalho excepto combustíveis,Retail trade except fuels,123.98,3.8,2.6,0.6
109,2019-07-01,2019-07-31,CR1,Comércio a retalho excepto combustíveis,Retail trade except fuels,123.29,4.0,3.2,9.5
110,2019-06-01,2019-06-30,CR1,Comércio a retalho excepto combustíveis,Retail trade except fuels,112.63,4.0,1.7,-1.8
111,2019-05-01,2019-05-31,CR1,Comércio a retalho excepto combustíveis,Retail trade except fuels,114.64,4.3,3.8,5.4
112,2019-04-01,2019-04-30,CR1,Comércio a retalho excepto combustíveis,Retail trade except fuels,108.76,4.6,8.4,-0.8
113,2019-03-01,2019-03-31,CR1,Comércio a retalho excepto combustíveis,Retail trade except fuels,109.69,3.9,1.5,13.4
114,2019-02-01,2019-02-28,CR1,Comércio a retalho excepto combustíveis,Retail trade except fuels,96.71,4.4,4.6,-6.9
115,2019-01-01,2019-01-31,CR1,Comércio a retalho excepto combustíveis,Retail trade except fuels,103.91,4.3,4.1,-26.4
116,2023-10-01,2023-10-31,CR2,"Comércio a retalho de produtos alimentares, bebidas e tabaco","Retail trade of food products, drinks and tobacco",152.86,10.0,5.4,-1.4
117,2023-09-01,2023-09-30,CR2,"Comércio a retalho de produtos alimentares, bebidas e tabaco","Retail trade of food products, drinks and tobacco",154.96,10.6,11.1,-9.1
118,2023-08-01,2023-08-31,CR2,"Comércio a retalho de produtos alimentares, bebidas e tabaco","Retail trade of food products, drinks and tobacco",170.51,10.7,9.9,4.9
119,2023-07-01,2023-07-31,CR2,"Comércio a retalho de produtos alimentares, bebidas e tabaco","Retail trade of food products, drinks and tobacco",,,,
120,2023-06-01,2023-06-30,CR2,"Comércio a retalho de produtos alimentares, bebidas e tabaco","Retail trade of food products, drinks and tobacco",144.44,11.6,7.6,-2.4
121,2023-05-01,2023-05-31,CR2,"Comércio a retalho de produtos alimentares, bebidas e tabaco","Retail trade of food products, drinks and tobacco",148.03,11.9,9.5,0.4
122,2023-04-01,2023-04-30,CR2,"Comércio a retalho de produtos alimentares, bebidas e tabaco","Retail trade of food products, drinks and tobacco",147.39,12.1,10.6,2.6
123,2023-03-01,2023-03-31,CR2,"Comércio a retalho de produtos alimentares, bebidas e tabaco","Retail trade of food products, drinks and tobacco",143.61,12.3,10.3,12.6
124,2023-02-01,2023-02-28,CR2,"Comércio a retalho de produtos alimentares, bebidas e tabaco","Retail trade of food products, drinks and tobacco",127.58,12.0,13.7,-4.0
125,2023-01-01,2023-01-31,CR2,"Comércio a retalho de produtos alimentares, bebidas e tabaco","Retail trade of food products, drinks and tobacco",132.92,11.4,13.7,-23.6
126,2022-12-01,2022-12-31,CR2,"Comércio a retalho de produtos alimentares, bebidas e tabaco","Retail trade of food products, drinks and tobacco",174.04,10.7,11.2,24.1
127,2022-11-01,2022-11-30,CR2,"Comércio a retalho de produtos alimentares, bebidas e tabaco","Retail trade of food products, drinks and tobacco",140.23,10.6,10.8,-3.3
128,2022-10-01,2022-10-31,CR2,"Comércio a retalho de produtos alimentares, bebidas e tabaco","Retail trade of food products, drinks and tobacco",145.04,10.5,12.6,4.0
129,2022-09-01,2022-09-30,CR2,"Comércio a retalho de produtos alimentares, bebidas e tabaco","Retail trade of food products, drinks and tobacco",139.48,10.0,12.6,-10.1
130,2022-08-01,2022-08-31,CR2,"Comércio a retalho de produtos alimentares, bebidas e tabaco","Retail trade of food products, drinks and tobacco",155.1,9.4,12.9,2.4
131,2022-07-01,2022-07-31,CR2,"Comércio a retalho de produtos alimentares, bebidas e tabaco","Retail trade of food products, drinks and tobacco",151.52,8.7,14.3,12.9
132,2022-06-01,2022-06-30,CR2,"Comércio a retalho de produtos alimentares, bebidas e tabaco","Retail trade of food products, drinks and tobacco",134.21,7.9,11.6,-0.7
133,2022-05-01,2022-05-31,CR2,"Comércio a retalho de produtos alimentares, bebidas e tabaco","Retail trade of food products, drinks and tobacco",135.14,7.6,11.8,1.4
134,2022-04-01,2022-04-30,CR2,"Comércio a retalho de produtos alimentares, bebidas e tabaco","Retail trade of food products, drinks and tobacco",133.28,6.9,12.8,2.3
135,2022-03-01,2022-03-31,CR2,"Comércio a retalho de produtos alimentares, bebidas e tabaco","Retail trade of food products, drinks and tobacco",130.23,6.6,5.7,16.1
136,2022-02-01,2022-02-28,CR2,"Comércio a retalho de produtos alimentares, bebidas e tabaco","Retail trade of food products, drinks and tobacco",112.18,6.3,5.6,-4.0
137,2022-01-01,2022-01-31,CR2,"Comércio a retalho de produtos alimentares, bebidas e tabaco","Retail trade of food products, drinks and tobacco",116.86,5.7,5.1,-25.3
138,2021-12-01,2021-12-31,CR2,"Comércio a retalho de produtos alimentares, bebidas e tabaco","Retail trade of food products, drinks and tobacco",156.53,5.5,9.8,23.7
139,2021-11-01,2021-11-30,CR2,"Comércio a retalho de produtos alimentares, bebidas e tabaco","Retail trade of food products, drinks and tobacco",126.56,4.8,9.7,-1.8
140,2021-10-01,2021-10-31,CR2,"Comércio a retalho de produtos alimentares, bebidas e tabaco","Retail trade of food products, drinks and tobacco",128.85,4.1,6.2,4.1
141,2021-09-01,2021-09-30,CR2,"Comércio a retalho de produtos alimentares, bebidas e tabaco","Retail trade of food products, drinks and tobacco",123.82,3.9,5.1,-9.8
142,2021-08-01,2021-08-31,CR2,"Comércio a retalho de produtos alimentares, bebidas e tabaco","Retail trade of food products, drinks and tobacco",137.34,3.6,5.5,3.6
143,2021-07-01,2021-07-31,CR2,"Comércio a retalho de produtos alimentares, bebidas e tabaco","Retail trade of food products, drinks and tobacco",132.6,2.9,6.0,10.3
144,2021-06-01,2021-06-30,CR2,"Comércio a retalho de produtos alimentares, bebidas e tabaco","Retail trade of food products, drinks and tobacco",120.26,2.4,7.0,-0.5
145,2021-05-01,2021-05-31,CR2,"Comércio a retalho de produtos alimentares, bebidas e tabaco","Retail trade of food products, drinks and tobacco",120.92,1.6,3.2,2.3
146,2021-04-01,2021-04-30,CR2,"Comércio a retalho de produtos alimentares, bebidas e tabaco","Retail trade of food products, drinks and tobacco",118.17,1.4,10.6,-4.1
147,2021-03-01,2021-03-31,CR2,"Comércio a retalho de produtos alimentares, bebidas e tabaco","Retail trade of food products, drinks and tobacco",123.25,0.3,1.3,16.0
148,2021-02-01,2021-02-28,CR2,"Comércio a retalho de produtos alimentares, bebidas e tabaco","Retail trade of food products, drinks and tobacco",106.27,0.8,-1.8,-4.4
149,2021-01-01,2021-01-31,CR2,"Comércio a retalho de produtos alimentares, bebidas e tabaco","Retail trade of food products, drinks and tobacco",111.16,1.7,2.5,-22.0
150,2020-12-01,2020-12-31,CR2,"Comércio a retalho de produtos alimentares, bebidas e tabaco","Retail trade of food products, drinks and tobacco",142.56,2.0,2.7,23.6
151,2020-11-01,2020-11-30,CR2,"Comércio a retalho de produtos alimentares, bebidas e tabaco","Retail trade of food products, drinks and tobacco",115.36,1.8,0.3,-4.9
152,2020-10-01,2020-10-31,CR2,"Comércio a retalho de produtos alimentares, bebidas e tabaco","Retail trade of food products, drinks and tobacco",121.31,1.9,4.9,3.0
153,2020-09-01,2020-09-30,CR2,"Comércio a retalho de produtos alimentares, bebidas e tabaco","Retail trade of food products, drinks and tobacco",117.81,1.6,1.2,-9.5
154,2020-08-01,2020-08-31,CR2,"Comércio a retalho de produtos alimentares, bebidas e tabaco","Retail trade of food products, drinks and tobacco",130.16,1.7,-1.9,4.1
155,2020-07-01,2020-07-31,CR2,"Comércio a retalho de produtos alimentares, bebidas e tabaco","Retail trade of food products, drinks and tobacco",125.06,2.2,0.4,11.3
156,2020-06-01,2020-06-30,CR2,"Comércio a retalho de produtos alimentares, bebidas e tabaco","Retail trade of food products, drinks and tobacco",112.35,2.4,-3.2,-4.2
157,2020-05-01,2020-05-31,CR2,"Comércio a retalho de produtos alimentares, bebidas e tabaco","Retail trade of food products, drinks and tobacco",117.22,3.0,1.4,9.8
158,2020-04-01,2020-04-30,CR2,"Comércio a retalho de produtos alimentares, bebidas e tabaco","Retail trade of food products, drinks and tobacco",106.8,3.1,-4.9,-12.2
159,2020-03-01,2020-03-31,CR2,"Comércio a retalho de produtos alimentares, bebidas e tabaco","Retail trade of food products, drinks and tobacco",121.69,4.3,8.1,12.5
160,2020-02-01,2020-02-29,CR2,"Comércio a retalho de produtos alimentares, bebidas e tabaco","Retail trade of food products, drinks and tobacco",108.19,3.6,11.8,-0.3
161,2020-01-01,2020-01-31,CR2,"Comércio a retalho de produtos alimentares, bebidas e tabaco","Retail trade of food products, drinks and tobacco",108.48,3.0,5.4,-21.9
162,2019-12-01,2019-12-31,CR2,"Comércio a retalho de produtos alimentares, bebidas e tabaco","Retail trade of food products, drinks and tobacco",138.85,2.9,0.9,20.7
163,2019-11-01,2019-11-30,CR2,"Comércio a retalho de produtos alimentares, bebidas e tabaco","Retail trade of food products, drinks and tobacco",115.01,3.2,3.2,-0.5
164,2019-10-01,2019-10-31,CR2,"Comércio a retalho de produtos alimentares, bebidas e tabaco","Retail trade of food products, drinks and tobacco",115.61,3.3,1.9,-0.7
165,2019-09-01,2019-09-30,CR2,"Comércio a retalho de produtos alimentares, bebidas e tabaco","Retail trade of food products, drinks and tobacco",116.43,3.7,1.2,-12.3
166,2019-08-01,2019-08-31,CR2,"Comércio a retalho de produtos alimentares, bebidas e tabaco","Retail trade of food products, drinks and tobacco",132.7,4.0,2.2,6.5
167,2019-07-01,2019-07-31,CR2,"Comércio a retalho de produtos alimentares, bebidas e tabaco","Retail trade of food products, drinks and tobacco",124.59,4.5,2.9,7.3
168,2019-06-01,2019-06-30,CR2,"Comércio a retalho de produtos alimentares, bebidas e tabaco","Retail trade of food products, drinks and tobacco",116.11,4.5,3.7,0.4
169,2019-05-01,2019-05-31,CR2,"Comércio a retalho de produtos alimentares, bebidas e tabaco","Retail trade of food products, drinks and tobacco",115.65,4.6,3.5,3.0
170,2019-04-01,2019-04-30,CR2,"Comércio a retalho de produtos alimentares, bebidas e tabaco","Retail trade of food products, drinks and tobacco",112.3,5.0,9.6,-0.3
171,2019-03-01,2019-03-31,CR2,"Comércio a retalho de produtos alimentares, bebidas e tabaco","Retail trade of food products, drinks and tobacco",112.61,3.9,-0.7,16.4
172,2019-02-01,2019-02-28,CR2,"Comércio a retalho de produtos alimentares, bebidas e tabaco","Retail trade of food products, drinks and tobacco",96.78,4.9,3.2,-5.9
173,2019-01-01,2019-01-31,CR2,"Comércio a retalho de produtos alimentares, bebidas e tabaco","Retail trade of food products, drinks and tobacco",102.88,4.9,4.7,-25.3
174,2023-10-01,2023-10-31,4711,"Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco","Retail trade in non -specialized establishments, with predominance of food products, beverages or tobacco",156.04,10.0,5.7,-0.9
175,2023-09-01,2023-09-30,4711,"Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco","Retail trade in non -specialized establishments, with predominance of food products, beverages or tobacco",157.44,10.6,11.7,-9.2
176,2023-08-01,2023-08-31,4711,"Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco","Retail trade in non -specialized establishments, with predominance of food products, beverages or tobacco",173.3,10.6,10.3,4.8
177,2023-07-01,2023-07-31,4711,"Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco","Retail trade in non -specialized establishments, with predominance of food products, beverages or tobacco",,,,
178,2023-06-01,2023-06-30,4711,"Comércio a retalho em estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco","Retail trade in non -specialized establishments, with predominance of food products, beverages or tobacco",145.8,11.4,7.5,-2.5
